label,message
ham,"Hey John, are you free for a quick chat later today?"
spam,"WINNER! You've won a free iPhone 15! Claim now: bit.ly/free-prize-xyz"
ham,"Don't forget to pick up milk on your way home."
spam,"URGENT: Your bank account has been suspended. Verify at secure-bank-login.com/update"
ham,"Okay, sounds good. See you at 7 PM for dinner."
spam,"Congratulations! You've been selected for a cash prize of $1,000,000. Reply YES to claim."
ham,"Did you get the email I sent you regarding the project updates?"
spam,"Exclusive offer: Get 50% off all products! Limited time only. Visit shopnow.co/sale"
ham,"Can you send me the presentation slides by end of day?"
spam,"Your parcel is pending delivery. Confirm details here: trackmypackage.xyz/delivery-info"
ham,"The meeting is at 10 AM in conference room B. Please be on time."
spam,"Act fast! Only a few spots left for our amazing investment opportunity. Call 0800-456-7890."
ham,"Thanks for your help with the report yesterday, it was really helpful."
spam,"Dear customer, your bank account requires immediate verification. Click secure-banking.info/verify."
ham,"Call me when you're free. I have some exciting news to tell you."
spam,"Huge discount on your next purchase! Use code SAVEBIG at checkout: bestdeals.net/offers"
ham,"I'll be home around 6 PM. What should we have for dinner tonight?"
spam,"Free ringtone for you! Download now: freeringtones.mobi/download"
ham,"The weather forecast says it will be sunny tomorrow, perfect for a walk."
spam,"Your lottery ticket number 789456123 has won! Claim your prize here: winlotto.com/claim"
ham,"Remember to water the plants, they look a bit dry."
spam,"You have 1 unread message from a secret admirer! View now: secret-hookup.com/profile"
ham,"Could you please forward the meeting minutes to everyone?"
spam,"Final warning: Your Netflix account will be deactivated. Update payment: netflix-billing.xyz/update"
ham,"I need to reschedule our coffee chat to next week, is that okay?"
spam,"Get rich quick! Invest in our revolutionary crypto currency. Learn more: cryptoprofit.org/invest"
ham,"What time does the store close today? I need to grab a few things."
spam,"Congratulations! You've won a holiday trip to Hawaii! Click to redeem: dreamvacation.org/redeem"
ham,"The concert tickets are booked for Saturday night. Are you excited?"
spam,"Claim your FREE $1000 gift card! Limited offer. Visit giftcard-rewards.xyz/claim"
ham,"Can you remind me about Sarah's birthday next Tuesday?"
spam,"Your phone number has been selected for a cash award of $5,000! Text YES to 8899."
ham,"Let's meet at the park around 2 PM, the kids want to play."
spam,"Debt relief offer: Eliminate your debts completely! Call 0900-111-2222 now."
ham,"I just wanted to thank you for coming to my rescue earlier."
spam,"Amazing deal! Get a brand new laptop for just $99. Order yours: cheaptech.com/deals"
ham,"My apologies, I completely forgot about that. I'll do it now."
spam,"Your credit score has dropped significantly. Check details here: credit-alert.info/check"
ham,"The cat needs to go to the vet on Friday morning."
spam,"Unlock your potential! Enroll in our online course and earn a certificate: education-plus.org/enroll"
ham,"I had a great time at the party last night!"
spam,"Beware: Your device has been infected with a virus. Scan now: security-scan.net/fix"
ham,"Did you hear back from the client about the proposal?"
spam,"Congratulations, you qualify for a low-interest loan! Apply now: easyloans.co/apply"
ham,"I'm running a bit late, probably be there in 15 minutes."
spam,"Act now! Limited time offer on medical supplies. Shop: healthmart.biz/sale"
ham,"What's the best way to get to the airport from here?"
spam,"You have been pre-approved for a mortgage up to $500,000. Learn more: homeloans.com/apply"
ham,"Don't forget to bring your umbrella, it might rain later."
spam,"Exclusive content just for you! Click here to watch: adult-videos.xyz/watch"
ham,"Can we grab lunch together on Wednesday?"
spam,"Your package could not be delivered. Reschedule here: ups-delivery.co/reschedule"
ham,"The presentation went really well, thanks for your help!"
spam,"BIG NEWS! You have a secret admirer who wants to meet you! Click: secret-admirer.net/meet"
ham,"I'll send you the details shortly."
spam,"Claim your FREE vacation tickets now! Don't miss out: traveldeals.com/free-trip"
ham,"Happy birthday! Hope you have a wonderful day."
spam,"Urgent security alert: Unusual activity detected on your account. Review: security-monitor.org/alert"
